Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRD11.HFMVTBBXX.s_1.r_1_screen	14735	14.63	96690	96.03	30162	29.94	18	0.02	74	0.07	0	0.0
SLX-11165.ORDRD11.HFMVTBBXX.s_2.r_1_screen	14525	14.63	95484	96.2	29901	30.12	11	0.01	61	0.06	0	0.0
SLX-11165.ORDRD11.HFN3MBBXX.s_5.r_1_screen	14898	14.72	97329	96.21	30455	30.11	13	0.01	70	0.07	0	0.0
SLX-11165.ORDRD11.HFN3MBBXX.s_6.r_1_screen	14916	14.77	97171	96.22	30102	29.8	7	0.01	67	0.07	0	0.0
SLX-11165.ORDRD11.HFN3MBBXX.s_7.r_1_screen	14961	14.83	97209	96.37	30124	29.86	8	0.01	67	0.07	0	0.0
SLX-11165.ORDRD12.HFMVTBBXX.s_1.r_1_screen	13367	13.38	96599	96.65	28383	28.4	3	0.0	55	0.06	0	0.0
SLX-11165.ORDRD12.HFMVTBBXX.s_2.r_1_screen	13135	13.23	95946	96.7	28032	28.25	1	0.0	49	0.05	0	0.0
SLX-11165.ORDRD12.HFN3MBBXX.s_5.r_1_screen	13136	13.17	96452	96.62	28299	28.35	2	0.0	69	0.07	0	0.0
SLX-11165.ORDRD12.HFN3MBBXX.s_6.r_1_screen	13259	13.17	97400	96.73	28455	28.26	2	0.0	73	0.07	0	0.0
SLX-11165.ORDRD12.HFN3MBBXX.s_7.r_1_screen	13204	13.22	96652	96.8	28230	28.28	5	0.01	72	0.07	0	0.0
SLX-11165.ORDRE04.HFMVTBBXX.s_1.r_1_screen	29662	29.45	94329	93.65	45489	45.15	2	0.0	51	0.05	0	0.0
SLX-11165.ORDRE04.HFMVTBBXX.s_2.r_1_screen	29307	29.23	94158	93.89	45128	45.01	1	0.0	45	0.04	0	0.0
SLX-11165.ORDRE04.HFN3MBBXX.s_5.r_1_screen	28442	28.69	92962	93.79	44193	44.59	0	0.0	57	0.06	0	0.0
SLX-11165.ORDRE04.HFN3MBBXX.s_6.r_1_screen	28957	28.82	94094	93.66	44772	44.57	5	0.0	55	0.05	0	0.0
SLX-11165.ORDRE04.HFN3MBBXX.s_7.r_1_screen	28648	28.86	93222	93.92	44566	44.9	1	0.0	68	0.07	0	0.0
SLX-11165.ORDRE06.HFMVTBBXX.s_1.r_1_screen	20556	20.06	97496	95.15	34342	33.51	11	0.01	48	0.05	0	0.0
SLX-11165.ORDRE06.HFMVTBBXX.s_2.r_1_screen	19554	19.75	94450	95.42	32827	33.17	6	0.01	64	0.06	0	0.0
SLX-11165.ORDRE06.HFN3MBBXX.s_5.r_1_screen	19924	19.65	96539	95.23	33475	33.01	9	0.01	89	0.09	0	0.0
SLX-11165.ORDRE06.HFN3MBBXX.s_6.r_1_screen	19688	19.86	94560	95.35	32689	32.96	9	0.01	66	0.07	0	0.0
SLX-11165.ORDRE06.HFN3MBBXX.s_7.r_1_screen	20075	19.83	96507	95.35	33510	33.12	9	0.01	67	0.07	0	0.0
SLX-11165.ORDRE07.HFMVTBBXX.s_1.r_1_screen	26755	26.47	94800	93.77	42028	41.57	8	0.01	66	0.07	0	0.0
SLX-11165.ORDRE07.HFMVTBBXX.s_2.r_1_screen	26091	26.27	93447	94.05	41343	41.61	8	0.01	45	0.05	0	0.0
SLX-11165.ORDRE07.HFN3MBBXX.s_5.r_1_screen	26328	26.18	94425	93.93	41752	41.54	2	0.0	66	0.07	0	0.0
SLX-11165.ORDRE07.HFN3MBBXX.s_6.r_1_screen	26357	26.11	94704	93.8	41491	41.11	3	0.0	61	0.06	0	0.0
SLX-11165.ORDRE07.HFN3MBBXX.s_7.r_1_screen	26039	25.94	94537	94.15	41222	41.05	1	0.0	58	0.06	0	0.0
SLX-11165.ORDRE08.HFMVTBBXX.s_1.r_1_screen	36089	35.57	94662	93.29	49224	48.51	2	0.0	48	0.05	0	0.0
SLX-11165.ORDRE08.HFMVTBBXX.s_2.r_1_screen	35223	35.66	92477	93.65	47971	48.58	5	0.01	54	0.05	0	0.0
SLX-11165.ORDRE08.HFN3MBBXX.s_5.r_1_screen	34933	35.25	92708	93.55	47985	48.42	5	0.0	77	0.08	0	0.0
SLX-11165.ORDRE08.HFN3MBBXX.s_6.r_1_screen	34145	34.77	91961	93.61	47048	47.89	4	0.0	55	0.06	0	0.0
SLX-11165.ORDRE08.HFN3MBBXX.s_7.r_1_screen	34758	35.14	92742	93.78	47741	48.28	8	0.01	72	0.07	0	0.0
SLX-11165.ORDRE09.HFMVTBBXX.s_1.r_1_screen	24479	24.21	95916	94.89	41675	41.22	5	0.0	63	0.06	0	0.0
SLX-11165.ORDRE09.HFMVTBBXX.s_2.r_1_screen	24062	24.3	94085	95.02	41065	41.47	2	0.0	45	0.05	0	0.0
SLX-11165.ORDRE09.HFN3MBBXX.s_5.r_1_screen	23798	24.02	94026	94.87	40925	41.29	4	0.0	58	0.06	0	0.0
SLX-11165.ORDRE09.HFN3MBBXX.s_6.r_1_screen	23355	23.62	94086	95.14	40324	40.78	4	0.0	38	0.04	0	0.0
SLX-11165.ORDRE09.HFN3MBBXX.s_7.r_1_screen	23724	23.95	94285	95.15	40594	40.97	7	0.01	62	0.06	0	0.0
